search_date,content
2022-03-29,"
                    //@-Shammgod-:#浦东疫情# #浦东封控# 求求了上海领导都看不到吗 "
2022-03-29,"
                    多好的天，可惜出个门像历险。路过徐家汇随便买了毛毛虫面包肉松小贝酱鸭过油肉鸡爪香肠糖藕。大胖加班，老爸蒸了菜和小香薯，切了猪肝猪心等我吃。让老爸尝一遍熟食，他说上海的熟食都一个味，太甜了。大胖又炖了一锅“下货”，两个猪肚，两个猪心，一个大猪肝。趁他不在，把猪肚里的肥油统统清理掉。回来后他失望地说，没有肥油，猪肚就不好吃了  临走友情交换，我拿走鸡蛋猪肝，送到家回礼鲳鱼牛里脊红豆包小米，真是中国好亲戚#浦东疫情# 
"
2022-03-29,"
                    //@_文约_:帮转！ #浦东疫情# "
2022-03-29,"
                    //@a_jooooooo:明天的数据。。。//@锦端晨:我鸡皮疙瘩起来了//@Erika_Rao:#浦东疫情#  截至2022年3月29日11:30小区情况更新，核酸异常楼栋占比已超30% 评论配图 "
2022-03-29,"
 "
2022-03-29,"
                    白菜价～#上海高岛屋一颗白菜77块被罚50万# 2上海 ​                "
2022-03-29,"
 一个宾馆一个医院，这中间有没有人浑水摸鱼，前期流调出了吗                "
2022-03-29,"
                    //@阿龙哥BLOG:我小区在浦东张江规模差不多3700人的样子，看起来井然有序，居委带领近100多人的志愿者分组做核酸，有时候还在小区门口卖菜，今天要求不出户组织志愿者巡逻拿快递。基层居委很关键！ #浦东疫情# "
2022-03-29,"
#浦东疫情#听说南宁有一个从上海回来的阳性，到处走，如果是真的，我真的裂开！我普通人一个，因家里有娃，小心谨慎不敢尽量不出门，结果人家不封城，到处跑。。 ​                "
2022-03-29,"
#浦东疫情##浦东疫情##浦西提前到今晚封控消息不实# 【网友实拍上海一小区机器狗背着喇叭 宣传科学防疫】3月29日，上海一小区内住户拍下一机器狗背着喇叭宣传科学防疫的画面。（海客新闻）#上海要求封控管理期间人员足不出户# L人民日报海外版-海外网的微博视频 ​                "
2022-03-29,"
                    【号外！四川疾控最新提示：从即日起，调整对上海来(返)川人员管控政策】#成都疫情最新情况# 28日晚，#四川省疾控中心发布最新提示#：从即日起，调整对上海来（返）川人员管控政策。 ​                "
2022-03-29,"
@上海发布 #浦东疫情# "
2022-03-29,"
#浦东疫情#  "
2022-03-29,"
                           说实话如果一些网友造谣只要道个歉、赔点钱、推卸一下责任就能过去的话，那我觉得那些犯事的一人都能再拯救一下了，想一下平时艺人身为公众人物说错一句话就可能被全网嘲，全网骂，甚至伴随他们很多年，在相关视频下总能看到那些不堪的言论。       而网友说错了一句话呢？明星艺人们能全下场黑他们吗？为什么不能同等对待呢？就因为艺人是公众人物，哪怕一点小错就能被放大，而网友仅仅靠一张嘴，一双手，一个键盘就可以肆无忌惮，挑战法律吗？      造谣生事的人比逃漏税更可怕，放在国家层面，逃税漏税会影响财政收入，影响市场秩序，但一个造谣生事的人妖言惑众，可能会迷惑更多的人，这样的人难道对国家的发展与未来，危害不是更大吗？尤其是现在疫情情况下，他们恶意生事，更是可恨，希望严惩造谣者！不止赵丽颖，还有所有被污蔑过的公众人物，我们只求公道！#赵丽颖##赵丽颖起诉多名网友维权##上海税务局回应网曝疑赵丽颖涉嫌偷漏税#  
"
2022-03-29,"
                    上海疫情那么严重也希望你能平平安安 ​                "
2022-03-29,"
#浦东疫情#给上海支援一些有脑子的领导吧，社区管理乱的一塌糊涂，不是因为严重才乱，是因为乱才严重 2上海 ​                "
2022-03-29,"
                    //@严艺家://@了不起的黛西小姐:#浦东疫情# "
2022-03-29,"
#浦东疫情#能囤菜囤粮食就多囤点吧！毕竟上海人没有真正的封过城，祈祷🙏🏻 别造成人道灾难！ ​                "
2022-03-29,"
#浦东疫情# //@校长不想去水星学物理:#浦东疫情#  疫情 #疫情防控# @上海发布 @人民日报 "
2022-03-29,"
现在上海有高风险地区吗？ ​                "
2022-03-29,"
#浦东疫情##浦西提前到今晚封控消息不实##理事带你看友城# 【网友实拍上海一小区机器狗背着喇叭 宣传科学防疫】3月29日，上海一小区内住户拍下一机器狗背着喇叭宣传科学防疫的画面。（海客新闻）#上海要求封控管理期间人员足不出户# L人民日报海外版-海外网的微博视频 ​                "
2022-03-29,"
                    疫情下的上海市容 2上海 L司马无为221的微博视频 ​                "
2022-03-29,"
                    //@chrvy: #浦东疫情# @上海发布 @浦东发布 现在有关做不上血透的求助微博非常多，请尽快发布针对性措施！                "
2022-03-29,"
                    隔离也要  有个好心情哦#隔离日记# 2上海·爱博五村 ​                "
2022-03-29,"
                    这疫情带来的影响是巨大的，市场经济、房价、还有学业工作绝大多数平凡家庭越加焦虑……但总会好的，总会好的。把人搞的太过疲惫时，不免很多很多很多人会觉得生逢这个时代很倒霉。但是，或许每一个时代都会有一个时代要打的“仗”，爷爷奶奶一辈是战争动荡自然灾害，是能活下来都是一种奢侈……上一代人是改制下岗一夜之间多少双职工第二个月都夫妻双双把家还开始迷茫的打工人生孩子嗷嗷待哺……我们这一代遭遇了可怕的房价、学区、贷款、婚的婚不好，没婚的不敢婚育不起，又来了疫情 经济市场业务一年又一年的硬扛……或许不是只有我们有倒霉的事，世界在进化，或许进化需要阵痛。无论如何，希望世界和平、人民安康。希望上海也好、南京也罢……都早日好起来。有时候想想，或许是人把生活抬得太高标，所有起点都在拼命的往前移，好像别人都是如此，规则都是如此，不跟着跑没办法。但人实在累了，不防就闭一只眼，试着欣欣然绕过咖啡店汉堡屋，就喝你也挺喜欢喝的豆浆油条，就一定不快乐吗？有一句话特别对，大致意思是不要以为谁会笑你，大家都在过自己的，没那么多精力关注别人。所以，或许实在累了，不跟着跑了，也纯属自己的事。这句话是因为我总耿耿于怀有时候自己说话不小心不恰当时，我的领导和我说根本没人一直记得，别人都有自己的事，所以完全犯不着自己耿耿于怀。同理很多事啊。当你被大气候节奏卷的焦虑不堪了，过一过小时候的生活。会发现，大家各自忙各自的。你的生活选择只属于你。 
"
2022-03-29,"
 #浦东疫情# "
2022-03-29,"
                    今天突然看到一篇文章，谈论的是上海疫情究竟应该继续严格管控还是应该彻底放开。原来一直认为要加强封闭管控的我看完那篇文章大为震撼。是的，这个世界有很多人身上肩负着生活重担，这样比较之下，疫情仿佛又逊色很多…                "
2022-03-29,"
                    【八方奔赴，共战疫情！#谢谢来驰援的你们#！】目前，我国疫情防控形势仍然严峻复杂，吉林、上海、福建等地的疫情牵动人心。医疗队紧急驰援、蔬菜包陆续运抵、援助物资不断运来…困难面前，各地伸出援助之手↓↓#请相信中国人的团结#，“我们来了”，携手战疫，愿疫情早日消散！  L人民日报的微博视频 ​​​ 
"
2022-03-29,"
未定事件簿黑市左然花遇惠风亚克力装饰画，50r吧唧15r/   图上各一坐标上海疫情原因暂时发不了货，所以接受口头/定金hold ​                "
