search_date,content
2022-05-03,"
                    希望小哥去隔离酒店支援之行一切顺利[小白菊]希望上海疫情花桥疫情快快结束，让我大哥抓紧挣奶粉钱钱[小白菊]希望和家人们早早相聚[小白菊] L陪pp去江湖的微博视频 ​                "
2022-05-03,"
                    //@万精油微博:上海封城的时候，胡总编说：“面对汹涌疫情，需要个人做一些短时间里的牺牲”。“上海不清零，全国人民不答应”。现在轮到北京了，他说：“封城不可持续，是粗暴的挖动态清零的墙角”。不惜一切代价在自己有可能成为代价的时候就不行了。胡总编的嘴真是随便翻啊。 "
2022-05-03,"
                    现在ip地址在上海的已经不配讨论疫情了、一说话就会被群嘲、搞的现在的状况是我们老百姓导致的一样、咱不知道咱也不敢说🤷‍♂️ ​                "
2022-05-03,"
   意义何在，鞭策么？疫情不一心想着搞好攻坚战，净整这些花里胡哨的玩意儿！都不容易，这投票本来就不客观，恶心人干嘛！共同抗疫不好吗？昂！！！ ​                "
2022-05-03,"
                    大半夜突然宣布把小区的团购给我们停了，说好的解封呢？发生甚馍事了？我文明用语，幸好冰箱里还有点存货儿 ​                "
2022-05-03,"
                    //@有那么一点儿蓝蓝蓝蓝蓝://@白家屯的白阿姨:上海！可爱橘橘擅长居家安抚情绪，想在疫情后有个稳定的家，便于长期发挥自己的特长！                "
2022-05-03,"
                    //@一个院长的思考: //@kaola17571://@一个无趣的偏执狂:上海市民素质高没人骂娘，骂也只是骂搞封控的人而不是骂搞砸疫情的人                "
2022-05-03,"
#上饶疫情#世 上海有难真的是八方扩散 2上饶 ​                "
2022-05-03,"
                    终于明白了朋友圈里同学都囤货是咋回事呜呜呜 天天关注上海 结果家被偷 #郑州疫情# ​                "
2022-05-03,"
                    能上传以后的那部分#自捅鼻子# 2上海 L吃饱了骂厨子的微博视频 ​                "
2022-05-03,"
                    #同济跳楼#上海这次疫情的惨痛经历，完全可以与武汉相比，成为一代人永世难忘的回忆，旁观者只会喊一句加油，而当局者可能付出了生命的代价！ 2上海 ​                "
2022-05-03,"
                    //@白家屯的白阿姨:上海！可爱橘橘擅长居家安抚情绪，想在疫情后有个稳定的家，便于长期发挥自己的特长！                "
2022-05-03,"
                    吉林上海蹲没完长沙蹲，长沙蹲完北京蹲，北京蹲没完郑州蹲//@黑头发老爷爷:这疫情搞的人都魔怔了，再这样下去经济要烂掉了。                "
2022-05-03,"
                    看这期本草纲目，更觉医者不易大姐姐一直奔赴在上海疫情一线，小姐姐现在也去方舱支援了，厚厚的防护服之下，小小的身躯，疫情之下，都有太多的不易惟愿早日结束 ​                "
2022-05-03,"
                    怎么说呢上海这波疫情，我从三月初开始被封，现在五月了两个多月，第一次打开支付宝也是没想到花呗根本派不上用场微信赢得很彻底 ​                "
2022-05-03,"
#带深深看世界# 今日啾星虽然（1/1）了但是是大A的贴纸（上海人落泪）和深深一起逛逛没有疫情的上海⑧！@卡布叻_周深 @AllbyArtist0929 ​                "
2022-05-03,"
                    yes！！！上海疫情快点滚蛋吧！我要听演唱会 "
2022-05-03,"
# plog日常集#感觉“清美”的这个团购性价比不怎么高#疫情防控##上海团购##五一劳动节# L三青四绿海派魅力的微博视频 ​                "
2022-05-03,"
                    付房租天经地义为何能这么理直气壮的要求减免住了人家房子就得付房租没疫情的时候你住人家房子在上海赚钱也没看你分点儿给房东啊能不能别这么理直气壮哒要求换成商量很难吗和房东商量一下因为疫情影响能不能延期支付房租疫情影响的不仅仅只有你吧能不能别这么自私自利只管自己 ​                "
2022-05-03,"
                    这几天听说一个新词汇：宏卫兵。 "
2022-05-03,"
#给疫情下老人一份支持##手机买菜对老年人门槛有多高#赠人玫瑰，手有余香。我在“疫情困境老人生活包”项目捐款成功！愿我和@归霖1640 让爱心传递。@上海市华侨事业发展基金会 疫情困境老人生活包 ​                "
2022-05-03,"
                    致敬劳动者 谢谢你们奔“沪”而来5月伊始上海疫情防控取得阶段性成效6个区实现社会面基本清零目标阶段性成果的背后是全国22个省份3万余名医务人员和重症专家出品人：姜微监制：肖春飞 张书旗记者：袁全设计：杜梁楠 袁全实习：向香编辑：张铎终审：何莉新华社上海分社新华社新媒体中心联合出品 
"
2022-05-03,"
                    魔都魔幻天天见，2022年5月3日晚10点，又在扔菜到垃圾箱里。。。 L昕一机械设计加工的微博视频 ​                "
2022-05-03,"
#给疫情下老人一份支持##手机买菜对老年人门槛有多高# 小善意，大温暖。我在“疫情困境老人生活包”项目捐款成功！愿点滴之举温暖更多心灵。@上海市华侨事业发展基金会http://t.cn/A66370zC ​                "
2022-05-03,"
                    幸亏马老师您在上海闵行区生活，上午起床时第一时间排除了您。不然，岂不是再次证明上海疫情防控还有漏洞啊 "
2022-05-03,"
                    「玩具分享」疫情之下被封控在上海一个多月没有回家，很久没有摸到玩具了。眼看新品一个个出货干着急，啥也买不了，快递都停了。怀念以前的日子，周末回家拍拍玩具放松心情，快乐一整天。现在在上海就是每天做核酸，困在一个30多平的小屋子里对着手机发呆。希望早日解封，让我早点回家 ​                "
2022-05-03,"
                    上海！可爱橘橘擅长居家安抚情绪，想在疫情后有个稳定的家，便于长期发挥自己的特长！                "
2022-05-03,"
 一别之后，两地隔离，都说是三四天，谁知已经五六周，七八月能开最好，九十月再开也行，百无聊赖千样好，万般无奈自己嘲。 ​                "
2022-05-03,"
//@一个院长的思考: //@kaola17571://@一个无趣的偏执狂:上海市民素质高没人骂娘，骂也只是骂搞封控的人而不是骂搞砸疫情的人                "
2022-05-03,"
                    北京新增53例！上海治愈者日益增多！疫情防控最新消息！O北京新增53例！上海治愈者日益增多！疫情防控最新消息！ ​                "
2022-05-03,"
  坐标：上海市嘉定区马陆镇（可参看定位）图片依次顺序为截至目前，政府发的免费物资。（第三，四次因居委通知按人头发放，注明一下我家4人份）发出来没有其他用意，只是想官方@上海嘉定 @上海发布 求证一下：发的对不对？ 2上海·秋霞坊 ​                "
2022-05-03,"
#疫情日记in SH##疫情下的生活# 女儿美化过的大白让爸爸成为小区里最靓的仔。五一假期云逛动物园。😬和小闺蜜一起上课，一起玩耍。静默期的自给自足，面包越做越顺手了。 2上海 ​                "
2022-05-03,"
#给疫情下老人一份支持##手机买菜对老年人门槛有多高#与爱同路，让爱回家。我在“疫情困境老人生活包”项目捐款成功！愿我和@归霖1640 一起放大爱的力量！@上海市华侨事业发展基金会 疫情困境老人生活包 ​                "
2022-05-03,"
                    最惨的莫过于人在上海 两个家还被偷了同心守沪 同辛抗疫 澄江福地加油拜托了疫情快快结束吧新冠快快消失吧🙏🙏🙏 ​                "
2022-05-03,"
 第33天，在防范区提及管控的社区里，继4/14发的三根黄瓜和两个番茄之后的第20天发的物资有一袋非真空包装滴腊肠（不敢吃），一袋300g肘子，一袋没标记重量的有质保期没有生产日期滴黑木耳。300g肘子每天吃10g可再坚持30天，黑木耳炒黑木耳，黑木耳凉拌黑木耳，黑木耳配肘子。吾将用无坚不摧的信念，坚持到动态清零！！！@绿色青浦 @幸福白鹤 @新民周刊 @看看新闻@上海发布 2苏州·启航社晶彩 
"
2022-05-03,"
                    公司的第二波物资在不报希望中发放了#珊珊来迟的分享# 我坚信这是最后一波对公司对  2上海 ​                "
2022-05-03,"
                    郑州五一疫情，病毒源自海上，传播链不全，情况更糟。1、病毒源，3月26日，一个人从加拿大返回28日抵达上海，在上海隔离21天，阴性，4月18日乘高铁离沪未成行，转另一酒店隔5天。4月23日从虹桥高铁至合肥南未出站转到郑州东（23：00右右），在郑州东停留11个小时，未出站，24日转乘G1909到银川，到银川后检阳性，银川进入424模式。2、郑州病例134、135是4月24日下午上班，入区域消杀保洁，而此时银川病例已乘高铁离开，可能产生人人传播或环境传播。133是同往家属，136是郑州东站引导员，138是郑州东站空调维修工。可见，病毒在郑州东站已经跨工种、跨时间隐匿传播多日，不排除更多的东站工作人员、及家属、进出站旅旅客有可能被传染。3、郑州发布5月3日凌晨2点发布轨迹，病例137号活动范围广，涉及场所多，但他并未离开郑州市，也未去过郑州东站，病毒如何找到他，目前尚不明确。4、综合来看，病毒应该4月24日进入郑州，隐匿传播7天，5月1日被发现，传播链尚有断层，应该有更多的人感染的可能性，5、虽然说最早发现在郑东新区，目前来看，哪个区都不安全，是到了储备食物的时刻了！ 
"
2022-05-03,"
                    //@陆锡鑫:如果 也是“探路”，就是一种失败的探路，损失惨重。在#张邬吴# 忽悠下，放任自流，毫无准备，自负大意，一发不可收拾。不到两个月，60万人感染，近500人死亡。有人罪孽深重呀！                "
2022-05-03,"
                    上海疫情快快结束吧，漂亮杯杯是从上海发货的，想给想念的🍊投送的小物件也是上海的 ​                "
2022-05-03,"
                    我支持王大卫，关注过他的很多作品，他是一个永远在路上的思想者和表达者，是一个坚定的女权主义者，是一个关心人民苦难的诗人，是真诚投入创作的人，是我非常尊敬的一位写作者。丰县铁链女、上海疫情、飞机失事、俄乌战争，面对近来发生的这些令人悲痛的事实，他从未沉默，从未站在弱势群体的对立面，他为万千女性、万千受苦受难的同胞发声。       请求盲目攻击他的网友先去多了解下他的作品和思想，再动动脑子做出独立的思考和判断。比如妇女节时候他写的献给所有女性及为女性苦难发声的朋友们的《我的身体就是我的节日》，他用非常坚定的态度和声音说""将女人的身体从所有以女人彻底成为丧失灵魂的工具为终极目标的铁项链中抢回来""。O网页链接       我认为盲目的断章取义和道德审判是对创作者极大的不尊重，盲目的情绪对立不能帮助我们了解真相，显然那段视频里他的本意是""反讽""，讽刺的恰恰就是你们口中的""恶臭男""。如果你认为你是一位女权主义者，请拿出你的真诚，再张口说话。请把批评或赞美建立在有了解和思考判断的基础上。 #王大卫与社会诗歌# 
"
