search_date,content
2022-03-22,"
刚刚和妈妈视频 说家附近的小区检测出了好多阳性...救命这波疫情这么没完没了的啊？？？ ​                "
2022-03-22,"
#叨哥有话说# 【上海市市长龚正检查疫情防控：防控工作仍然处于吃劲的关键阶段 坚持就是胜利】上海市委副书记、市长龚正今天（22日）在检查疫情防控工作时指出，要深入贯彻落实习近平总书记重要讲话精神，按照市委部署要求，坚持科学精准、动态清零，聚焦疫情防控持续推进中发现的短板弱项，统筹汇聚力量资源，织密扎牢防控网络，尽快遏制疫情扩散蔓延势头。要全力保障基本民生，主动排摸、及时回应解决居民各类需求。下午，龚正一行来到杨浦一处集中健康观察点，实地检查疫情防控工作，看望慰问坚守在抗疫一线的工作人员，向社区干部、医务人员、公安民警、志愿者等表示由衷感谢。龚正指出，当前防控工作仍然处于吃劲的关键阶段，坚持就是胜利。要继续强化高风险源闭环管理，强化重点场所疫情防控，强化疫情监测预警，严格按照防控规范做好转移隔离，不断巩固完善防控措施，坚决打赢疫情防控阻击战。 (澎湃) 
"
2022-03-22,"
 上海早就不行了还搁那操纵什么舆论呢 有发推文买营销的工夫 做点实事儿不行吗……真的是 谁要看上海人喝不喝咖啡啊 就举个最简单例子 入境人员解除隔离前的最后一次核酸结果40个小时才出来 可以理解检测量大 出来了能不能赶紧把随申码从黄转绿 没有绿码寸步难行 我的黄码等了快一天一夜才转绿。。于是就变成了你出行需要48h核酸——给机构打电话说核酸结果48h出——但是你出行又要48h核酸——出结果了核酸过期了——但是你没有绿码不能做核酸 让那么多人滞留上海的问题 居然要靠打110和12345来解决。。拨出点买热搜买营销的财政改善一下信息系统不行吗。。再退一步讲。。让人都因为核酸滞留 因为筛查而排队 但是又做不到闭环 那封闭的意义是什么呢？ 
"
2022-03-22,"
小道消息满天飞 明天的事情明天再说吧 就这样吧 没东西吃就当减肥 总饿不死我希望我明天还能顺利出小区 ​                "
2022-03-22,"
我真的快无聊死了 ​                "
2022-03-22,"
                    上海的……疫情…… "
2022-03-22,"
求求少点沪吹，多做点快速高效的实事。 ​                "
2022-03-22,"
嘉定封一周多了，有人管过吗？上周五放出去三小时买东西，也没说后续封几天，买的根本不够，这两天好不容易开了了几家外卖，明后天全员封闭又gg，网上订菜也抢不到派送，这就是一线城市的上海吗 2上海 ​                "
2022-03-22,"
#癌症病危留学生在上海隔离无法治疗#都给你上呼吸机了，还是“基础治疗”吗？想靠舆论逼迫专家组为你一个人服务也做做功课好吧？！！起码你都已经开绿灯住进医院了，现在多的是因为疫情连医院都进不了的癌症患者，她们才该哭吧？！你想活着，那得了病的人又有几个想死？ ​                "
2022-03-22,"
我们小区从3月18日封闭到3月22日，目前还没有通知啥时解除家里库存食物只能再支撑一天了，希望明天能解除 ​                "
2022-03-22,"
//@山西联通:#抗击疫情 央企行动# 近日，上海疫情出现反复，为保障防疫期间教学停课不中断，抗疫工作更安心，上海联通现推出抗疫专属服务，为广大医护人员、教师及学生的工作生活保驾护航。 ​​​                "
2022-03-22,"
上海平安🙏🙏🙏赶紧好起来 ​                "
2022-03-22,"
 ​                "
2022-03-22,"
                    上海疫情太南了 LYumi君的小萌蛋的微博视频 ​                "
2022-03-22,"
在各个群都看到要封城的消息，不知道真假，只能平台上先把菜预约上 2上海 ​                "
