search_date,content
2022-03-01,"
                    【#上海即日起暂停跨省团队旅游及“机票+酒店”业务#】上海市文化和旅游局今日（3月1日）发布通知，即日起暂停跨省团队旅游及“机票+酒店”业务，待上海市全部为低风险地区后，可恢复经营跨省团队旅游及“机票+酒店”业务（但不得组团前往中高风险地区旅游，不得承接中高风险地区旅游团队，不得组织中高风险地区游客外出旅游），并要求各级文旅管理部门、各旅行社和在线旅游企业，切实贯彻落实防疫各项要求，继续毫不放松、科学精准做好旅游团队疫情防控工作。（乐游上海）O关于本市暂停跨省团队旅游及“机票+酒店”业务的通知 
"
2022-03-01,"
                    祈祷上海疫情赶紧好转，希望晨艺的第一场音乐会顺顺利利。🙏@晨艺 "
2022-03-01,"
                    【#上海新增1例本土确诊病例#】记者3月1日从上海市新冠肺炎疫情防控新闻发布会上获悉，上海新增1例新冠肺炎本土确诊病例，该病例2月28日下午因发热前往上海市同济医院发热门诊就诊，新冠病毒核酸检测结果为阳性。上海市普陀区石泉街道宁强路33号石泉社区文化活动中心被列为中风险地区，上海市其他区域风险等级不变。（@新华社 记者袁全、史依灵）#信阳生活# 2上海·普陀区 
"
2022-03-01,"
刚刚社区打来电话，让去核酸，我只不过是2.23从江阴去了上海九院，在上海连头带尾才4小时，带⭐了，这样得麻烦几天了！有的公司一刀切，根本不让你进门，哎！ 2无锡 ​                "
2022-03-01,"
                    从二月二十几号就计划着去上海，去见你，去打卡你呆过的地方，可是因为这个b疫情，把我的一切计划全都打乱了！拿什么还我 ​                "
2022-03-01,"
                    一心三用上海又带星了，武汉还在增。疫情反复不停🌟些许焦虑 ​                "
2022-03-01,"
                    每次刚从上海回来，上海就疫情 ​                "
2022-03-01,"
                    刚摘完苏州的🌟，又戴上了上海的🌟，这疫情啥时候结束啊！ ​                "
2022-03-01,"
                    祈祷上海疫情赶紧好转，希望晨艺的第一场音乐会顺顺利利。🙏@晨艺 "
2022-03-01,"
                    要去上海看病，年前上海疫情，单位不给放行！年后苏州疫情，人家上海医院嫌弃！金矿上海又爆出核酸阳性，妈呀，我什么时候才能去上海！体制内得悲哀！ ​                "
2022-03-01,"
姐妹们呐，上海行程码带星了，4号还可以去杭州嘛 ​                "
2022-03-01,"
                    ……//@WBG英雄联盟分部:🎙️自明日（3月2日）起，上海LPL主场将暂停接待观众入场观赛。上海LPL主场恢复接待观众的时间，将根据后续疫情情况而定。WBG英雄联盟 "
2022-03-01,"
                    （92/100）上海疫情了真的会哭  //@MagueLud:（90/100）（2/14）  "
2022-03-01,"
                    上海新增1例本土确诊病例，普陀区石泉街道宁强路33号列为中风险地区。关爱人类生命健康，关注疾病预防消毒。疫情教给我们的不仅仅是学会防护，还要懂得未雨绸缪。出行时做好个人防护，戴口罩，勤洗手，不聚集。#弋达康病毒灭活液# 2长沙 ​                "
